id;sku;product_type;affiliate_link;user_id;category_id;subcategory_id;childcategory_id;attributes;name;slug;photo;thumbnail;file;size;size_qty;size_price;color;price;previous_price;details;stock;policy;status;views;tags;features;colors;product_condition;ship;is_meta;meta_tag;meta_description;youtube;type;license;license_qty;link;platform;region;licence_type;measure;featured;best;top;hot;latest;big;trending;sale;created_at;updated_at;is_discount;discount_date;whole_sell_qty;whole_sell_discount;is_catalog;catalog_id
1;upright backyard;sudden sharply;neighbourhood;7159;21134;29992;19476;cloud and;gah into beneath;yahoo unto milepost;except;testy masculine;guffaw visa;athwart wisely however;scissors;past toward;fuchsia;15098.03;17501.4;nor before;23377;ew feel;11142;2144;urgently hm;even transfer;contrail price drat;30092;boo although fit;false;consequently;jubilantly bogus about;however;nick;highly substantial scarcely;officially roster;blindly along untrue;ah dory circa;whenever pooh parallel;willfully meanwhile zowie;hourly mechanically;true;true;true;false;true;false;false;false;2023-12-02T00:52:11;2023-12-02T12:01:04;true;disturb drat;slog overload;astride bah;false;27321
2;loop dialect second-hand;pfft insect finally;thunderbolt patiently;15160;12428;18977;4993;cleverly;yet;huzzah delightfully;shack how meanwhile;calmly;whoa;tensely rule;communist adolescent woozy;upright;azure;22943.6;30299.41;lest retrospectivity;4002;eek flower outhouse;28214;8331;though eek baritone;doorpost dark;hail duh;2029;brag ration;true;inscription;perfectly out;treasured;honestly mention snoopy;warmly reprieve;near chapter affectionate;without defiantly;irresponsible;yearn;push;bah adjourn overjoyed;true;false;true;false;true;false;false;false;2023-12-02T05:54:00;2023-12-02T11:20:45;true;drat forfeit;supposing;highly;true;6032
3;incomplete duh uselessly;small absent monthly;woot forenenst ah;23512;15268;26573;9693;hmph barring anarchy;celebrated;payment flat which;anenst adventurously;forenenst than for;fragrant;however yuck commonly;willow than;refer stay qua;magenta;9012.82;30766.4;until blah snappy;32367;drat victoriously;13652;8881;trim phooey;idolized;stable;24331;shorts;false;quarter sometimes;pish gah yaw;actually;organization throughout;strategy ugh;soggy detour;warble very;whoever stumble for;beautifully indeed offensively;boost;freak;false;true;true;true;false;true;false;true;2023-12-02T11:30:53;2023-12-02T04:44:21;true;bah;smooth restate er;consequently;true;23675
4;aha till;eek button tempting;hm rash deduct;26345;27874;22588;6514;writing;worriedly;um showboat;romance;hence distance bah;movies solitaire;finally offensively;round bah mitigate;boohoo gee;purple;28015.86;11217.99;dramatize geez;2533;forage;32056;27609;ride;extroverted vice;unlike trusty;14267;gem;false;powerfully sub;purloin or;once;brick since;drat monthly wherever;coat who randomisation;yet;incidentally;than trade;direct ick;meek safely;false;false;true;true;true;true;false;false;2023-12-02T01:55:31;2023-12-02T04:59:46;false;honestly consequently without;gladly animated yuck;optimistic;true;21003
5;strident folk;meh mediocre excluding;to;28719;5446;21765;6041;since;until cravat;instance lam behind;hobby surprise garland;decisive minus forenenst;mmm afore pish;incidentally subject;disavow sedately hm;panic;orchid;8311.15;6804.63;keep atop atop;3767;oddball regal;5011;23766;duh;hairy transparency provided;spike;11784;equally;true;quirkily;threadbare furiously;ha;faraway;bah striped;striking;irritating before;emigrate yowza phew;midst almighty frightfully;bug;unless;false;true;true;true;true;false;false;false;2023-12-02T11:42:42;2023-12-01T19:19:38;false;how anti equally;aha;porthole;true;26359
6;slip;dame;whole gah woot;4869;7840;4770;31273;because almost ha;as;other while psst;if;climate yum;babushka daily boastfully;jinx;optimistically;on buoyant;silver;21712.96;12568.68;onto yowza softly;18;webbed;1974;7320;oh charset;subdued circa shop;disband inferior wretched;10012;brightly psst at;true;hm gadzooks eek;supposing meanwhile tool;till mortified dapper;truthfully blah tugboat;encourage tenderly;now kindly market;yahoo;twin greatly chaperon;saturate;wicked;after guitar;false;false;false;false;false;true;false;true;2023-12-01T21:52:11;2023-12-01T21:41:44;true;obnoxiously cross-stitch;aged;midst;true;5919
7;ouch even pish;dizzy;ugh writhing awareness;7971;20874;1135;6835;cassava following;lest whenever;clang;bah transfer;row huzzah ugh;beyond before quaintly;glossy;nor;shocked drat wearily;turquoise;976.62;9635.51;hardhat;6566;lock;25007;28939;dilution forecast;banter upright;valiantly honour;14747;galumph;false;than;who guarantee;around;ajar;gee treasury duh;anenst complete;phooey content gadzooks;gleeful;per divest;whoa atop unto;earnest;false;true;false;false;true;false;false;false;2023-12-02T12:40:42;2023-12-02T10:36:50;false;fooey barge;healthily barring;pish conceptualize lest;false;30907
8;double uneven;drag;oh geez though;15933;6902;12243;21876;hybridization too feisty;besides;by as corrupt;hm;where bare;since troop;parachute;cassock;worrisome courageously swat;gold;13664.11;19831.58;fortunately ah calorie;32530;psst crop;10074;16736;for;knowingly;alluvium reserve;22106;lest loyal;true;yahoo uh-huh;spoon gracious shakily;or around cruelly;lest following;frown kowtow;nightingale kiddingly frontier;coalesce;far regarding trek;more absent instead;pfft dearly;waveform into viciously;true;false;true;false;false;true;true;false;2023-12-02T01:07:48;2023-12-02T08:56:30;true;notable;dependable;warn willfully glass;false;3804
9;everlasting worshiper minus;unto than;urgently easy-going nail;18205;15426;12859;11731;absent offend whereas;extrude restfully swanling;shopper required unaccountably;shoes barring;onto vainly craft;where anti worth;stratify dearly;towards;yum whenever treat;lime;3758.5;8367.33;now whoever phooey;10041;between;26814;154;affirm realization;if until;forenenst;32618;confused warrior than;false;committee duh;award;nationalize aw;aha;harsh brr among;behind;balloonist joey;before skyscraper via;furthermore accede which;apud;following;true;true;true;false;true;false;false;false;2023-12-02T04:23:33;2023-12-02T04:44:44;false;infant gadzooks cool;tarnish if misguided;moody defiantly;false;12801
10;mid boo fillet;hungrily hence;modulo dry;11488;13921;7204;11818;before;geez ancient;ah hydrofoil;psst;sometimes marketer;pony sedately;whose;unnecessarily brisk;for forenenst before;sky blue;10042.11;27792.66;runny happy-go-lucky boohoo;27827;arena;19958;25548;down failing unblock;hence;lunge knavishly;19410;or kindheartedly when;false;relinquish;thoughtfully revolving tomorrow;prudent too;savior apud jovially;of;how duh although;wedge degree;squat glittering;supposing;rapidly baptize interestingly;which;true;false;true;false;true;false;false;true;2023-12-02T15:10:06;2023-12-02T13:29:40;true;arm-rest;often oh pish;supposing eke yuck;true;933
