id;user_id;order_id;qty;price;order_number;status
1;24484;21266;27763;9615.97;lubricate;bow quaintly
2;3181;5720;20671;13068.27;yuck;instead movie
3;30504;10733;11001;23136.56;sadden device;outside busily
4;18300;23640;17606;22126.64;near showy gee;chasm curate appeal
5;7165;30553;20689;11627.72;whoever though;frenetically
6;9264;13750;7234;11214.75;joshingly from;crafty joshingly fat
7;26183;30168;5642;2119.58;chilly depopulate;tomorrow quicker infantile
8;29081;2055;7492;32132.54;to;pull courteous vain
9;806;8271;13922;8526.24;times;verbally
10;22319;26068;19726;20581.72;yowza immobilise;wilted
